21969018,13434000.0,PEUGEOT,2008,2025.0,5.0,Benzin,100,136,Kitűnő,434.0,Városi terepjáró (crossover),5,,1199.0,Első kerék,,,
21979712,15610000.0,PEUGEOT,5008,2025.42,3.0,Benzin,100,136,Újszerű,748.0,Városi terepjáró (crossover),7,,1199.0,Első kerék,,,
21981424,8598000.0,KGM,TIVOLI,2025.42,7.0,Benzin,120,163,Kitűnő,427.0,Városi terepjáró (crossover),5,Fehér (metál),1497.0,Első kerék,Manuális,6.0,
21989255,7499000.0,DACIA,DUSTER,2025.0,7.0,LPG,74,101,Normál,439.0,Városi terepjáró (crossover),5,Fehér,999.0,Első kerék,Manuális,6.0,
21992509,14580000.0,NISSAN,JUKE,2025.0,5500.0,Benzin,69,94,Kitűnő,354.0,Városi terepjáró (crossover),5,Fehér (metál),1598.0,Első kerék,Fokozatmentes automata,,
22005976,13740000.0,PEUGEOT,3008,2025.33,3.0,Benzin,100,136,Újszerű,520.0,Városi terepjáró (crossover),5,,1199.0,Első kerék,,,
22024522,10299000.0,RENAULT,SYMBIOZ,2025.0,1.0,Benzin,103,140,Normál,,Egyterű,6,Kék,1333.0,Első kerék,Manuális,6.0,
22043446,21794000.0,HONDA,CR-V,2025.5,,Benzin,135,184,Kitűnő,579.0,Városi terepjáró (crossover),5,Bordó (metál),1993.0,Összkerék,Fokozatmentes automata,,
22043809,17220000.0,HONDA,CIVIC,2025.5,,Benzin,135,184,Kitűnő,404.0,Ferdehátú,5,Fekete (metál),1993.0,Első kerék,Fokozatmentes automata,,
22045704,16029000.0,HONDA,HR-V,2025.5,,Benzin,96,131,Kitűnő,304.0,Városi terepjáró (crossover),5,Szürke (metál),1498.0,Első kerék,Fokozatmentes automata,,
22045834,9899000.0,MG,MG3,2025.5,,Benzin,75,102,Kitűnő,293.0,Ferdehátú,5,Fehér,1490.0,Első kerék,,,
22046194,7299000.0,MG,ZS,2025.5,,Benzin,78,106,Kitűnő,448.0,Városi terepjáró (crossover),5,Fehér,1498.0,Első kerék,Manuális,5.0,
