id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22180667,43349024.0,MERCEDES-BENZ,V-OSZTÁLY,2025.33,4.0,Dízel,174.0,Kitűnő,1030.0,Kisbusz,7.0,Unknown,1950.0,Összkerék,Automata tiptronic,9.0,0,0
22183581,48800000.0,LEXUS,RX,2025.33,2500.0,Hibrid-Benzin,273.0,Normál,612.0,Terepjáró,5.0,Barna,2393.0,Összkerék,Automata tiptronic,6.0,0,1
22183602,46900000.0,LEXUS,RX,2025.0,67731.0,Hibrid-Benzin,225.0,Normál,612.0,Terepjáró,5.0,Barna,2487.0,Összkerék,Fokozatmentes automata,0.0,1,1
22193218,37990000.0,BMW,X SOROZAT X5,2025.25,6578.0,Dízel,259.0,Újszerű,650.0,Városi terepjáró (crossover),5.0,Unknown,2993.0,Összkerék,Automata tiptronic,8.0,0,0
20892798,46578030.0,MERCEDES-BENZ,GLE-OSZTÁLY GLE 350,2024.0,5990.0,Hibrid-Dízel,145.0,Normál,490.0,Városi terepjáró (crossover),5.0,Fekete,1993.0,Összkerék,Automata tiptronic,9.0,0,1
22177101,37996000.0,BMW,M SOROZAT M3,2025.08,6879.0,Benzin,390.0,Kitűnő,500.0,Kombi,5.0,Szürke,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22186597,38260000.0,BMW,X SOROZAT X7,2020.83,49700.0,Dízel,250.0,Újszerű,750.0,Városi terepjáró (crossover),7.0,Fekete,2993.0,Összkerék,Automata tiptronic,8.0,0,1
20089000,38490000.0,BMW,IX,2022.5,4000.0,Elektromos,397.0,Sérülésmentes,500.0,Kombi,5.0,Bordó,0.0,Összkerék,Fokozatmentes automata,0.0,0,1
22178494,38585000.0,MERCEDES-BENZ,GLS-OSZTÁLY GLS 580,2020.83,35200.0,Benzin,360.0,Újszerű,355.0,Városi terepjáró (crossover),7.0,Fekete,3982.0,Összkerék,Automata tiptronic,9.0,0,0
22176891,42565960.0,MERCEDES-BENZ,GLE-OSZTÁLY GLE 450,2025.92,5.0,Dízel,270.0,Normál,630.0,Városi terepjáró (crossover),5.0,Fekete,2989.0,Összkerék,Automata tiptronic,9.0,0,1
22180545,38990000.0,BMW,X SOROZAT X5,2025.25,13900.0,Dízel,219.0,Újszerű,650.0,Városi terepjáró (crossover),5.0,Zöld,2993.0,Összkerék,Automata tiptronic,8.0,0,1
22084409,38999000.0,BMW,X SOROZAT X6,2024.08,13000.0,Dízel,259.0,Kitűnő,580.0,Városi terepjáró (crossover),5.0,Szürke,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22192576,39000000.0,BMW,M SOROZAT M4,2024.0,24998.0,Benzin,375.0,Újszerű,440.0,Coupe,4.0,Sárga,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22182196,39290000.0,BMW,X SOROZAT X5,2025.17,15000.0,Dízel,219.0,Újszerű,650.0,Városi terepjáró (crossover),5.0,Szürke,2993.0,Összkerék,Automata tiptronic,8.0,0,0
22179196,39290000.0,MERCEDES-BENZ,GLS-OSZTÁLY GLS 400,2022.17,54800.0,Dízel,243.0,Újszerű,355.0,Városi terepjáró (crossover),7.0,Fekete,2925.0,Összkerék,Automata tiptronic,9.0,0,1
21934111,39490000.0,BMW,X SOROZAT X5,2025.0,9900.0,Dízel,219.0,Újszerű,650.0,Városi terepjáró (crossover),5.0,Fekete,2993.0,Összkerék,Automata tiptronic,8.0,0,0
21928972,39878000.0,BMW,X SOROZAT X6,2024.92,4000.0,Dízel,219.0,Kitűnő,580.0,Városi terepjáró (crossover),5.0,Fehér,2993.0,Összkerék,Automata tiptronic,8.0,0,1
21928837,39878000.0,BMW,X SOROZAT X5,2024.83,7967.0,Dízel,210.0,Kitűnő,650.0,Városi terepjáró (crossover),5.0,Fekete,2993.0,Összkerék,Automata tiptronic,8.0,0,0
