id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22176252,6290000.0,NISSAN,QASHQAI,2017.67,90200.0,Benzin,120.0,Megkímélt,410.0,Városi terepjáró (crossover),5.0,Fekete,1618.0,Első kerék,Manuális,6.0,0,1
22149898,6290000.0,AUDI,A5,2016.0,94000.0,Benzin,106.0,Megkímélt,480.0,Ferdehátú,5.0,Fekete,1798.0,Első kerék,Fokozatmentes automata,0.0,0,0
22131164,6290000.0,SKODA,OCTAVIA,2017.83,101852.0,Benzin,110.0,Megkímélt,590.0,Ferdehátú,5.0,Fehér,1395.0,Első kerék,Manuális,6.0,0,0
22110586,6290000.0,SKODA,OCTAVIA,2020.92,150000.0,Dízel,85.0,Kitűnő,640.0,Kombi,5.0,Fekete,1968.0,Első kerék,Manuális,6.0,0,0
22092072,6290000.0,BMW,2-ES SOROZAT 220,2016.08,195000.0,Dízel,140.0,Megkímélt,335.0,Cabrio,4.0,Unknown,1995.0,Hátsó kerék,Automata tiptronic,8.0,0,0
22083661,6290000.0,AUDI,Q5,2014.25,200000.0,Dízel,130.0,Megkímélt,540.0,Városi terepjáró (crossover),5.0,Szürke,1968.0,Összkerék,Manuális,6.0,0,0
22034399,6290000.0,HYUNDAI,IONIQ,2019.33,81765.0,Elektromos,100.0,Kitűnő,443.0,Ferdehátú,5.0,Barna,0.0,Első kerék,Fokozatmentes automata,0.0,0,0
21836646,6290000.0,VOLKSWAGEN,CADDY,2019.92,67000.0,Benzin,96.0,Megkímélt,750.0,Kombi,5.0,Unknown,1395.0,Első kerék,Manuális,6.0,0,0
22159593,6299000.0,VOLKSWAGEN,GOLF GOLF VII,2019.5,106750.0,Benzin,110.0,Sérülésmentes,380.0,Ferdehátú,5.0,Fekete,1498.0,Első kerék,Automata,7.0,0,1
22149963,6299000.0,PEUGEOT,2008,2020.58,49000.0,Benzin,96.0,Kitűnő,405.0,Városi terepjáró (crossover),5.0,Unknown,1199.0,Első kerék,Automata tiptronic,8.0,0,0
22128121,6300000.0,DACIA,JOGGER,2022.33,26000.0,Benzin,81.0,Kitűnő,565.0,Egyterű,7.0,Fehér,999.0,Első kerék,Manuális,6.0,0,0
22095507,6300000.0,AUDI,A7,2012.5,253456.0,Dízel,180.0,Megkímélt,445.0,Coupe,5.0,Fekete,2967.0,Összkerék,Automata,7.0,0,0
22079749,6300000.0,SUZUKI,VITARA,2021.58,101000.0,Benzin,95.0,Újszerű,375.0,Városi terepjáró (crossover),5.0,Unknown,1373.0,Összkerék,Manuális,6.0,0,0
22075075,6300000.0,FORD,RANGER,2015.0,199500.0,Dízel,110.0,Normál,2600.0,Pickup,5.0,Unknown,2198.0,Összkerék,Manuális,6.0,0,0
22025303,6300000.0,SUZUKI,VITARA,2021.83,23172.0,Benzin,95.0,Kitűnő,375.0,Városi terepjáró (crossover),5.0,Fekete,1373.0,Első kerék,Manuális,6.0,0,0
22148766,6350000.0,AUDI,A6,2015.58,263350.0,Dízel,200.0,Megkímélt,530.0,Sedan,5.0,Unknown,2967.0,Összkerék,Unknown,5.0,0,0
22154654,6390000.0,BMW,3-AS SOROZAT,2017.92,193000.0,Dízel,110.0,Sérülésmentes,480.0,Sedan,5.0,Ezüst,1995.0,Hátsó kerék,Automata tiptronic,8.0,0,1
22152727,6390000.0,AUDI,Q3,2016.0,211000.0,Dízel,110.0,Kitűnő,460.0,Városi terepjáró (crossover),5.0,Unknown,1968.0,Első kerék,Manuális,6.0,0,0
22121397,6390000.0,AUDI,A3,2017.5,135000.0,Benzin,110.0,Megkímélt,329.0,Ferdehátú,5.0,Sötétbarna,1395.0,Unknown,Automata,7.0,0,0
22055211,6390000.0,KIA,CEE'D PRO CEE'D,2019.58,194000.0,Benzin,103.0,Megkímélt,594.0,Kombi,5.0,Narancs,1353.0,Első kerék,Automata,7.0,0,0
21974540,6390000.0,FORD,TRANSIT,2015.42,198780.0,Dízel,92.0,Normál,5950.0,Kisbusz,9.0,Ezüst,2198.0,Első kerék,Manuális,6.0,0,0
21901234,6390000.0,FORD,TRANSIT,2016.0,218500.0,Dízel,92.0,Megkímélt,1410.0,Kisbusz,9.0,Szürke,2198.0,Első kerék,Manuális,6.0,0,0
22146755,6399000.0,SUZUKI,S-CROSS,2018.67,19000.0,Benzin,103.0,Sérülésmentes,485.0,Sedan,5.0,Unknown,1373.0,Első kerék,Manuális,6.0,0,0
22146509,6399000.0,NISSAN,X-TRAIL,2016.0,83234.0,Dízel,96.0,Kitűnő,550.0,Városi terepjáró (crossover),5.0,Fehér,1598.0,Első kerék,Manuális,6.0,0,0
22154822,5990000.0,OPEL,COMBO,2020.75,49999.0,Benzin,81.0,Kitűnő,850.0,Egyterű,7.0,Fekete,1199.0,Első kerék,Manuális,6.0,0,0
22155236,6500000.0,KIA,SPORTAGE,2018.5,49000.0,Benzin,97.0,Sérülésmentes,503.0,Városi terepjáró (crossover),5.0,Sötétszürke,1591.0,Első kerék,Manuális,6.0,0,0
22102610,6399000.0,VOLKSWAGEN,GOLF GOLF VIII,2020.92,116000.0,Benzin,96.0,Normál,381.0,Ferdehátú,5.0,Unknown,1498.0,Első kerék,Manuális,6.0,0,0
22154619,6400000.0,HYUNDAI,IONIQ,2020.83,87170.0,Elektromos,100.0,Megkímélt,443.0,Ferdehátú,5.0,Szürke,0.0,Első kerék,Fokozatmentes automata,0.0,0,0
22121412,6400000.0,NISSAN,X-TRAIL,2021.17,167000.0,Dízel,110.0,Megkímélt,565.0,Városi terepjáró (crossover),7.0,Unknown,1749.0,Összkerék,Manuális,6.0,0,0
