id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
20604181,10530000.0,FORD,PUMA,2024.42,7.0,Benzin,92.0,Kitűnő,456.0,Városi terepjáró (crossover),5.0,Szürke,999.0,Első kerék,Manuális,6.0,0,0
21317660,20460000.0,PEUGEOT,508,2024.92,5.0,Unknown,133.0,Kitűnő,487.0,Ferdehátú,5.0,Unknown,1598.0,Első kerék,Automata tiptronic,8.0,0,0
21706910,14115000.0,PEUGEOT,308,2025.0,5.0,Dízel,96.0,Kitűnő,412.0,Ferdehátú,5.0,Kék,1499.0,Első kerék,Automata tiptronic,8.0,0,1
21805531,13298000.0,SSANGYONG,TORRES,2025.0,5.0,Benzin,120.0,Kitűnő,703.0,Kombi,5.0,Unknown,1497.0,Első kerék,Manuális,6.0,0,0
21859248,21725000.0,SSANGYONG,REXTON,2025.0,5.0,Dízel,148.0,Kitűnő,240.0,Városi terepjáró (crossover),7.0,Fekete,2157.0,Összkerék,Automata tiptronic,8.0,0,0
21891126,18874000.0,HYUNDAI,IONIQ 6,2025.0,2.0,Elektromos,168.0,Sérülésmentes,401.0,Sedan,5.0,Sötétszürke,0.0,Hátsó kerék,Fokozatmentes automata,0.0,1,1
21912815,8199000.0,OPEL,MOKKA,2025.17,10.0,Benzin,100.0,Kitűnő,350.0,Városi terepjáró (crossover),5.0,Kék,1199.0,Első kerék,Manuális,6.0,0,0
21981424,8598000.0,KGM,TIVOLI,2025.42,7.0,Benzin,120.0,Kitűnő,427.0,Városi terepjáró (crossover),5.0,Fehér,1497.0,Első kerék,Manuális,6.0,0,1
21964701,3470000.0,MINI,COOPER,2015.42,130605.0,Benzin,100.0,Normál,278.0,Ferdehátú,5.0,Fekete,1499.0,Első kerék,Manuális,6.0,0,0
22153214,17290000.0,VOLVO,XC90,2022.42,84804.0,Dízel,173.0,Kitűnő,705.0,Városi terepjáró (crossover),5.0,Szürke,1969.0,Összkerék,Automata tiptronic,8.0,0,1
22200958,15990000.0,VOLVO,XC60,2023.08,75974.0,Dízel,145.0,Megkímélt,483.0,Városi terepjáró (crossover),5.0,Fekete,1969.0,Összkerék,Automata tiptronic,8.0,0,1
